id,work_year,experience_level,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,employment_type
0,2020,MI,Data Scientist,70000,EUR,79833,DE,0,DE,L,FT
1,2020,SE,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S,FT
2,2020,SE,Big Data Engineer,85000,GBP,109024,GB,50,GB,M,FT
3,2020,MI,Product Data Analyst,20000,USD,20000,HN,0,HN,S,FT
4,2020,SE,Machine Learning Engineer,150000,USD,150000,US,50,US,L,FT
5,2020,EN,Data Analyst,72000,USD,72000,US,100,US,L,FT
6,2020,SE,Lead Data Scientist,190000,USD,190000,US,100,US,S,FT
7,2020,MI,Data Scientist,11000000,HUF,35735,HU,50,HU,L,FT
8,2020,MI,Business Data Analyst,135000,USD,135000,US,100,US,L,FT
9,2020,SE,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S,FT
10,2020,EN,Data Scientist,45000,EUR,51321,FR,0,FR,S,FT
11,2020,MI,Data Scientist,3000000,INR,40481,IN,0,IN,L,FT
12,2020,EN,Data Scientist,35000,EUR,39916,FR,0,FR,M,FT
13,2020,MI,Lead Data Analyst,87000,USD,87000,US,100,US,L,FT
14,2020,MI,Data Analyst,85000,USD,85000,US,100,US,L,FT
15,2020,MI,Data Analyst,8000,USD,8000,PK,50,PK,L,FT
16,2020,EN,Data Engineer,4450000,JPY,41689,JP,100,JP,S,FT
17,2020,SE,Big Data Engineer,100000,EUR,114047,PL,100,GB,S,FT
18,2020,EN,Data Science Consultant,423000,INR,5707,IN,50,IN,M,FT
19,2020,MI,Lead Data Engineer,56000,USD,56000,PT,100,US,M,FT
20,2020,MI,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M,FT
21,2020,MI,Product Data Analyst,450000,INR,6072,IN,100,IN,L,FT
22,2020,SE,Data Engineer,42000,EUR,47899,GR,50,GR,L,FT
23,2020,MI,BI Data Analyst,98000,USD,98000,US,0,US,M,FT
24,2020,MI,Lead Data Scientist,115000,USD,115000,AE,0,AE,L,FT
25,2020,EX,Director of Data Science,325000,USD,325000,US,100,US,L,FT
26,2020,EN,Research Scientist,42000,USD,42000,NL,50,NL,L,FT
27,2020,SE,Data Engineer,720000,MXN,33511,MX,0,MX,S,FT
28,2020,EN,Business Data Analyst,100000,USD,100000,US,100,US,L,CT
29,2020,SE,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L,FT
30,2020,MI,Data Engineering Manager,51999,EUR,59303,DE,100,DE,S,FT
31,2020,EN,Big Data Engineer,70000,USD,70000,US,100,US,L,FT
32,2020,SE,Data Scientist,60000,EUR,68428,GR,100,US,L,FT
33,2020,MI,Research Scientist,450000,USD,450000,US,0,US,M,FT
34,2020,MI,Data Analyst,41000,EUR,46759,FR,50,FR,L,FT
35,2020,MI,Data Engineer,65000,EUR,74130,AT,50,AT,L,FT
36,2020,MI,Data Science Consultant,103000,USD,103000,US,100,US,L,FT
37,2020,EN,Machine Learning Engineer,250000,USD,250000,US,50,US,L,FT
38,2020,EN,Data Analyst,10000,USD,10000,NG,100,NG,S,FT
39,2020,EN,Machine Learning Engineer,138000,USD,138000,US,100,US,S,FT
40,2020,MI,Data Scientist,45760,USD,45760,PH,100,US,S,FT
41,2020,EX,Data Engineering Manager,70000,EUR,79833,ES,50,ES,L,FT
42,2020,MI,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M,FT
43,2020,MI,Data Engineer,106000,USD,106000,US,100,US,L,FT
44,2020,MI,Data Engineer,88000,GBP,112872,GB,50,GB,L,FT
45,2020,EN,ML Engineer,14000,EUR,15966,DE,100,DE,S,PT
46,2020,MI,Data Scientist,60000,GBP,76958,GB,100,GB,S,FT
47,2020,SE,Data Engineer,188000,USD,188000,US,100,US,L,FT
48,2020,MI,Data Scientist,105000,USD,105000,US,100,US,L,FT
49,2020,MI,Data Engineer,61500,EUR,70139,FR,50,FR,L,FT
50,2020,EN,Data Analyst,450000,INR,6072,IN,0,IN,S,FT
51,2020,EN,Data Analyst,91000,USD,91000,US,100,US,L,FT
52,2020,EN,AI Scientist,300000,DKK,45896,DK,50,DK,S,FT
53,2020,EN,Data Engineer,48000,EUR,54742,PK,100,DE,L,FT
54,2020,SE,Computer Vision Engineer,60000,USD,60000,RU,100,US,S,FL
55,2020,SE,Principal Data Scientist,130000,EUR,148261,DE,100,DE,M,FT
56,2020,MI,Data Scientist,34000,EUR,38776,ES,100,ES,M,FT
57,2020,MI,Data Scientist,118000,USD,118000,US,100,US,M,FT
58,2020,SE,Data Scientist,120000,USD,120000,US,50,US,L,FT
59,2020,MI,Data Scientist,138350,USD,138350,US,100,US,M,FT
60,2020,MI,Data Engineer,110000,USD,110000,US,100,US,L,FT
61,2020,MI,Data Engineer,130800,USD,130800,ES,100,US,M,FT
62,2020,EN,Data Scientist,19000,EUR,21669,IT,50,IT,S,PT
63,2020,SE,Data Scientist,412000,USD,412000,US,100,US,L,FT
64,2020,SE,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S,FT
65,2020,EN,Data Scientist,55000,EUR,62726,DE,50,DE,S,FT
66,2020,EN,Data Scientist,43200,EUR,49268,DE,0,DE,S,FT
67,2020,SE,Data Science Manager,190200,USD,190200,US,100,US,M,FT
68,2020,EN,Data Scientist,105000,USD,105000,US,100,US,S,FT
69,2020,SE,Data Scientist,80000,EUR,91237,AT,0,AT,S,FT
70,2020,MI,Data Scientist,55000,EUR,62726,FR,50,LU,S,FT
71,2020,MI,Data Scientist,37000,EUR,42197,FR,50,FR,S,FT
72,2021,EN,Research Scientist,60000,GBP,82528,GB,50,GB,L,FT
73,2021,EX,BI Data Analyst,150000,USD,150000,IN,100,US,L,FT
74,2021,EX,Head of Data,235000,USD,235000,US,100,US,L,FT
75,2021,SE,Data Scientist,45000,EUR,53192,FR,50,FR,L,FT
76,2021,MI,BI Data Analyst,100000,USD,100000,US,100,US,M,FT
77,2021,MI,3D Computer Vision Researcher,400000,INR,5409,IN,50,IN,M,PT
78,2021,MI,ML Engineer,270000,USD,270000,US,100,US,L,CT
79,2021,EN,Data Analyst,80000,USD,80000,US,100,US,M,FT
80,2021,SE,Data Analytics Engineer,67000,EUR,79197,DE,100,DE,L,FT
81,2021,MI,Data Engineer,140000,USD,140000,US,100,US,L,FT
82,2021,MI,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L,FT
83,2021,MI,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S,FT
84,2021,EX,Director of Data Science,130000,EUR,153667,IT,100,PL,L,FT
85,2021,MI,Data Engineer,110000,PLN,28476,PL,100,PL,L,FT
86,2021,EN,Data Analyst,50000,EUR,59102,FR,50,FR,M,FT
87,2021,MI,Data Analytics Engineer,110000,USD,110000,US,100,US,L,FT
88,2021,SE,Lead Data Analyst,170000,USD,170000,US,100,US,L,FT
89,2021,SE,Data Analyst,80000,USD,80000,BG,100,US,S,FT
90,2021,SE,Marketing Data Analyst,75000,EUR,88654,GR,100,DK,L,FT
91,2021,EN,Data Science Consultant,65000,EUR,76833,DE,100,DE,S,FT
92,2021,MI,Lead Data Analyst,1450000,INR,19609,IN,100,IN,L,FT
93,2021,SE,Lead Data Engineer,276000,USD,276000,US,0,US,L,FT
94,2021,EN,Data Scientist,2200000,INR,29751,IN,50,IN,L,FT
95,2021,MI,Cloud Data Engineer,120000,SGD,89294,SG,50,SG,L,FT
96,2021,EN,AI Scientist,12000,USD,12000,BR,100,US,S,PT
97,2021,MI,Financial Data Analyst,450000,USD,450000,US,100,US,L,FT
98,2021,EN,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M,FT
99,2021,MI,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,S,FT
100,2021,MI,Data Analyst,75000,USD,75000,US,0,US,L,FT
101,2021,SE,Data Engineer,150000,USD,150000,US,100,US,L,FT
102,2021,MI,BI Data Analyst,11000000,HUF,36259,HU,50,US,L,FT
103,2021,MI,Data Analyst,62000,USD,62000,US,0,US,L,FT
104,2021,MI,Data Scientist,73000,USD,73000,US,0,US,L,FT
105,2021,MI,Data Analyst,37456,GBP,51519,GB,50,GB,L,FT
106,2021,MI,Research Scientist,235000,CAD,187442,CA,100,CA,L,FT
107,2021,SE,Data Engineer,115000,USD,115000,US,100,US,S,FT
108,2021,SE,Data Engineer,150000,USD,150000,US,100,US,M,FT
109,2021,EN,Data Engineer,2250000,INR,30428,IN,100,IN,L,FT
110,2021,SE,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L,FT
111,2021,SE,Director of Data Engineering,82500,GBP,113476,GB,100,GB,M,FT
112,2021,SE,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S,FT
113,2021,EN,AI Scientist,12000,USD,12000,PK,100,US,M,PT
114,2021,MI,Data Engineer,38400,EUR,45391,NL,100,NL,L,FT
115,2021,EN,Machine Learning Scientist,225000,USD,225000,US,100,US,L,FT
116,2021,MI,Data Scientist,50000,USD,50000,NG,100,NG,L,FT
117,2021,MI,Data Science Engineer,34000,EUR,40189,GR,100,GR,M,FT
118,2021,EN,Data Analyst,90000,USD,90000,US,100,US,S,FT
119,2021,MI,Data Engineer,200000,USD,200000,US,100,US,L,FT
120,2021,MI,Big Data Engineer,60000,USD,60000,ES,50,RO,M,FT
121,2021,SE,Principal Data Engineer,200000,USD,200000,US,100,US,M,FT
122,2021,EN,Data Analyst,50000,USD,50000,US,100,US,M,FT
123,2021,EN,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L,FT
124,2021,EN,Data Analyst,8760,EUR,10354,ES,50,ES,M,PT
125,2021,MI,Principal Data Scientist,151000,USD,151000,US,100,US,L,FT
126,2021,SE,Machine Learning Scientist,120000,USD,120000,US,50,US,S,FT
127,2021,MI,Data Scientist,700000,INR,9466,IN,0,IN,S,FT
128,2021,EN,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S,FT
129,2021,SE,Lead Data Scientist,3000000,INR,40570,IN,50,IN,L,FT
130,2021,EN,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S,FT
131,2021,EN,Data Scientist,42000,EUR,49646,FR,50,FR,M,FT
132,2021,MI,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M,FT
133,2021,SE,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M,FT
134,2021,EN,Data Scientist,100000,USD,100000,US,0,US,S,FT
135,2021,MI,Data Analyst,90000,USD,90000,US,100,US,M,FT
136,2021,MI,ML Engineer,7000000,JPY,63711,JP,50,JP,S,FT
137,2021,MI,ML Engineer,8500000,JPY,77364,JP,50,JP,S,FT
138,2021,SE,Principal Data Scientist,220000,USD,220000,US,0,US,L,FT
139,2021,EN,Data Scientist,80000,USD,80000,US,100,US,M,FT
140,2021,MI,Data Analyst,135000,USD,135000,US,100,US,L,FT
141,2021,SE,Data Science Manager,240000,USD,240000,US,0,US,L,FT
142,2021,SE,Data Engineering Manager,150000,USD,150000,US,0,US,L,FT
143,2021,MI,Data Scientist,82500,USD,82500,US,100,US,S,FT
144,2021,MI,Data Engineer,100000,USD,100000,US,100,US,L,FT
145,2021,SE,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M,FT
146,2021,MI,Research Scientist,53000,EUR,62649,FR,50,FR,M,FT
147,2021,MI,Data Engineer,90000,USD,90000,US,100,US,L,FT
148,2021,SE,Data Engineering Manager,153000,USD,153000,US,100,US,L,FT
149,2021,SE,Cloud Data Engineer,160000,USD,160000,BR,100,US,S,FT
150,2021,SE,Director of Data Science,168000,USD,168000,JP,0,JP,S,FT
151,2021,MI,Data Scientist,150000,USD,150000,US,100,US,M,FT
152,2021,MI,Data Scientist,95000,CAD,75774,CA,100,CA,L,FT
153,2021,EN,Data Scientist,13400,USD,13400,UA,100,UA,L,FT
154,2021,SE,Data Science Manager,144000,USD,144000,US,100,US,L,FT
155,2021,SE,Data Science Engineer,159500,CAD,127221,CA,50,CA,L,FT
156,2021,MI,Data Scientist,160000,SGD,119059,SG,100,IL,M,FT
157,2021,MI,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L,FT
158,2021,SE,Data Analytics Manager,120000,USD,120000,US,100,US,M,FT
159,2021,EN,Machine Learning Engineer,125000,USD,125000,US,100,US,S,FT
160,2021,EX,Head of Data,230000,USD,230000,RU,50,RU,L,FT
161,2021,EX,Head of Data Science,85000,USD,85000,RU,0,RU,M,FT
162,2021,MI,Data Engineer,24000,EUR,28369,MT,50,MT,L,FT
163,2021,EN,Data Science Consultant,54000,EUR,63831,DE,50,DE,L,FT
164,2021,EX,Director of Data Science,110000,EUR,130026,DE,50,DE,M,FT
165,2021,SE,Data Specialist,165000,USD,165000,US,100,US,L,FT
166,2021,EN,Data Engineer,80000,USD,80000,US,100,US,L,FT
167,2021,EX,Director of Data Science,250000,USD,250000,US,0,US,L,FT
168,2021,EN,BI Data Analyst,55000,USD,55000,US,50,US,S,FT
169,2021,MI,Data Architect,150000,USD,150000,US,100,US,L,FT
170,2021,MI,Data Architect,170000,USD,170000,US,100,US,L,FT
171,2021,MI,Data Engineer,60000,GBP,82528,GB,100,GB,L,FT
172,2021,EN,Data Analyst,60000,USD,60000,US,100,US,S,FT
173,2021,SE,Principal Data Scientist,235000,USD,235000,US,100,US,L,FT
174,2021,SE,Research Scientist,51400,EUR,60757,PT,50,PT,L,FT
175,2021,SE,Data Engineering Manager,174000,USD,174000,US,100,US,L,FT
176,2021,MI,Data Scientist,58000,MXN,2859,MX,0,MX,S,FT
177,2021,MI,Data Scientist,30400000,CLP,40038,CL,100,CL,L,FT
178,2021,EN,Machine Learning Engineer,81000,USD,81000,US,50,US,S,FT
179,2021,MI,Data Scientist,420000,INR,5679,IN,100,US,S,FT
180,2021,MI,Big Data Engineer,1672000,INR,22611,IN,0,IN,L,FT
181,2021,MI,Data Scientist,76760,EUR,90734,DE,50,DE,L,FT
182,2021,MI,Data Engineer,22000,EUR,26005,RO,0,US,L,FT
183,2021,SE,Finance Data Analyst,45000,GBP,61896,GB,50,GB,L,FT
184,2021,MI,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M,FL
185,2021,MI,Data Engineer,4000,USD,4000,IR,100,IR,M,FT
186,2021,SE,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M,FT
187,2021,EX,Data Science Consultant,59000,EUR,69741,FR,100,ES,S,FT
188,2021,SE,Data Engineer,65000,EUR,76833,RO,50,GB,S,FT
189,2021,MI,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S,FT
190,2021,SE,Data Science Manager,152000,USD,152000,US,100,FR,L,FT
191,2021,EN,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M,FT
192,2021,MI,Big Data Engineer,18000,USD,18000,MD,0,MD,S,FT
193,2021,SE,Data Science Manager,174000,USD,174000,US,100,US,L,FT
194,2021,SE,Research Scientist,120500,CAD,96113,CA,50,CA,L,FT
195,2021,MI,Data Scientist,147000,USD,147000,US,50,US,L,FT
196,2021,EN,BI Data Analyst,9272,USD,9272,KE,100,KE,S,FT
197,2021,SE,Machine Learning Engineer,1799997,INR,24342,IN,100,IN,L,FT
198,2021,SE,Data Science Manager,4000000,INR,54094,IN,50,US,L,FT
199,2021,EN,Data Science Consultant,90000,USD,90000,US,100,US,S,FT
200,2021,MI,Data Scientist,52000,EUR,61467,DE,50,AT,M,FT
201,2021,SE,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M,FT
202,2021,MI,Data Scientist,32000,EUR,37825,ES,100,ES,L,FT
203,2021,SE,Research Scientist,50000,USD,50000,FR,100,US,S,FT
204,2021,MI,Data Scientist,160000,USD,160000,US,100,US,L,FT
205,2021,MI,Data Scientist,69600,BRL,12901,BR,0,BR,S,FT
206,2021,SE,Machine Learning Engineer,200000,USD,200000,US,100,US,L,FT
207,2021,SE,Data Engineer,165000,USD,165000,US,0,US,M,FT
208,2021,MI,Data Engineer,20000,USD,20000,IT,0,US,L,FL
209,2021,SE,Data Analytics Manager,120000,USD,120000,US,0,US,L,FT
210,2021,MI,Machine Learning Engineer,21000,EUR,24823,SI,50,SI,L,FT
211,2021,MI,Research Scientist,48000,EUR,56738,FR,50,FR,S,FT
212,2021,MI,Data Engineer,48000,GBP,66022,HK,50,GB,S,FT
213,2021,EN,Big Data Engineer,435000,INR,5882,IN,0,CH,L,FT
214,2021,EN,Machine Learning Engineer,21000,EUR,24823,DE,50,DE,M,FT
215,2021,SE,Principal Data Engineer,185000,USD,185000,US,100,US,L,FT
216,2021,EN,Computer Vision Engineer,180000,DKK,28609,DK,50,DK,S,PT
217,2021,MI,Data Scientist,76760,EUR,90734,DE,50,DE,L,FT
218,2021,MI,Machine Learning Engineer,75000,EUR,88654,BE,100,BE,M,FT
219,2021,SE,Data Analytics Manager,140000,USD,140000,US,100,US,L,FT
220,2021,MI,Machine Learning Engineer,180000,PLN,46597,PL,100,PL,L,FT
221,2021,MI,Data Scientist,85000,GBP,116914,GB,50,GB,L,FT
222,2021,MI,Data Scientist,2500000,INR,33808,IN,0,IN,M,FT
223,2021,MI,Data Scientist,40900,GBP,56256,GB,50,GB,L,FT
224,2021,SE,Machine Learning Scientist,225000,USD,225000,US,100,CA,L,FT
225,2021,EX,Principal Data Scientist,416000,USD,416000,US,100,US,S,CT
226,2021,SE,Data Scientist,110000,CAD,87738,CA,100,CA,S,FT
227,2021,MI,Data Scientist,75000,EUR,88654,DE,50,DE,L,FT
228,2021,SE,Data Scientist,135000,USD,135000,US,0,US,L,FT
229,2021,SE,Data Analyst,90000,CAD,71786,CA,100,CA,M,FT
230,2021,EN,Big Data Engineer,1200000,INR,16228,IN,100,IN,L,FT
231,2021,SE,ML Engineer,256000,USD,256000,US,100,US,S,FT
232,2021,SE,Director of Data Engineering,200000,USD,200000,US,100,US,L,FT
233,2021,SE,Data Analyst,200000,USD,200000,US,100,US,L,FT
234,2021,MI,Data Architect,180000,USD,180000,US,100,US,L,FT
235,2021,MI,Head of Data Science,110000,USD,110000,US,0,US,S,FT
236,2021,MI,Research Scientist,80000,CAD,63810,CA,100,CA,M,FT
237,2021,MI,Data Scientist,39600,EUR,46809,ES,100,ES,M,FT
238,2021,EN,Data Scientist,4000,USD,4000,VN,0,VN,M,FT
239,2021,EN,Data Engineer,1600000,INR,21637,IN,50,IN,M,FT
240,2021,SE,Data Scientist,130000,CAD,103691,CA,100,CA,L,FT
241,2021,MI,Data Analyst,80000,USD,80000,US,100,US,L,FT
242,2021,MI,Data Engineer,110000,USD,110000,US,100,US,L,FT
243,2021,SE,Data Scientist,165000,USD,165000,US,100,US,L,FT
244,2021,EN,AI Scientist,1335000,INR,18053,IN,100,AS,S,FT
245,2021,MI,Data Engineer,52500,GBP,72212,GB,50,GB,L,FT
246,2021,EN,Data Scientist,31000,EUR,36643,FR,50,FR,L,FT
247,2021,MI,Data Engineer,108000,TRY,12103,TR,0,TR,M,FT
248,2021,SE,Data Engineer,70000,GBP,96282,GB,50,GB,L,FT
249,2021,SE,Principal Data Analyst,170000,USD,170000,US,100,US,M,FT
250,2021,MI,Data Scientist,115000,USD,115000,US,50,US,L,FT
251,2021,EN,Data Scientist,90000,USD,90000,US,100,US,S,FT
252,2021,EX,Principal Data Engineer,600000,USD,600000,US,100,US,L,FT
253,2021,EN,Data Scientist,2100000,INR,28399,IN,100,IN,M,FT
254,2021,MI,Data Analyst,93000,USD,93000,US,100,US,L,FT
255,2021,SE,Big Data Architect,125000,CAD,99703,CA,50,CA,M,FT
256,2021,MI,Data Engineer,200000,USD,200000,US,100,US,L,FT
257,2021,SE,Principal Data Scientist,147000,EUR,173762,DE,100,DE,M,FT
258,2021,SE,Machine Learning Engineer,185000,USD,185000,US,50,US,L,FT
259,2021,EX,Director of Data Science,120000,EUR,141846,DE,0,DE,L,FT
260,2021,MI,Data Scientist,130000,USD,130000,US,50,US,L,FT
261,2021,SE,Data Analyst,54000,EUR,63831,DE,50,DE,L,FT
262,2021,MI,Data Scientist,1250000,INR,16904,IN,100,IN,S,FT
263,2021,SE,Machine Learning Engineer,4900000,INR,66265,IN,0,IN,L,FT
264,2021,MI,Data Scientist,21600,EUR,25532,RS,100,DE,S,FT
265,2021,SE,Lead Data Engineer,160000,USD,160000,PR,50,US,S,FT
266,2021,MI,Data Engineer,93150,USD,93150,US,0,US,M,FT
267,2021,MI,Data Engineer,111775,USD,111775,US,0,US,M,FT
268,2021,MI,Data Engineer,250000,TRY,28016,TR,100,TR,M,FT
269,2021,EN,Data Engineer,55000,EUR,65013,DE,50,DE,M,FT
270,2021,EN,Data Engineer,72500,USD,72500,US,100,US,L,FT
271,2021,SE,Computer Vision Engineer,102000,BRL,18907,BR,0,BR,M,FT
272,2021,EN,Data Science Consultant,65000,EUR,76833,DE,0,DE,L,FT
273,2021,EN,Machine Learning Engineer,85000,USD,85000,NL,100,DE,S,FT
274,2021,SE,Data Scientist,65720,EUR,77684,FR,50,FR,M,FT
275,2021,EN,Data Scientist,100000,USD,100000,US,100,US,M,FT
276,2021,EN,Data Scientist,58000,USD,58000,US,50,US,L,FT
277,2021,SE,AI Scientist,55000,USD,55000,ES,100,ES,L,FT
278,2021,SE,Data Scientist,180000,TRY,20171,TR,50,TR,L,FT
279,2021,EN,Business Data Analyst,50000,EUR,59102,LU,100,LU,L,FT
280,2021,MI,Data Engineer,112000,USD,112000,US,100,US,L,FT
281,2021,EN,Research Scientist,100000,USD,100000,JE,0,CN,L,FT
282,2021,MI,Data Engineer,59000,EUR,69741,NL,100,NL,L,PT
283,2021,SE,Staff Data Scientist,105000,USD,105000,US,100,US,M,CT
284,2021,MI,Research Scientist,69999,USD,69999,CZ,50,CZ,L,FT
285,2021,SE,Data Science Manager,7000000,INR,94665,IN,50,IN,L,FT
286,2021,SE,Head of Data,87000,EUR,102839,SI,100,SI,L,FT
287,2021,MI,Data Scientist,109000,USD,109000,US,50,US,L,FT
288,2021,MI,Machine Learning Engineer,43200,EUR,51064,IT,50,IT,L,FT
289,2022,SE,Data Engineer,135000,USD,135000,US,100,US,M,FT
290,2022,SE,Data Analyst,155000,USD,155000,US,100,US,M,FT
291,2022,SE,Data Analyst,120600,USD,120600,US,100,US,M,FT
292,2022,MI,Data Scientist,130000,USD,130000,US,0,US,M,FT
293,2022,MI,Data Scientist,90000,USD,90000,US,0,US,M,FT
294,2022,MI,Data Engineer,170000,USD,170000,US,100,US,M,FT
295,2022,MI,Data Engineer,150000,USD,150000,US,100,US,M,FT
296,2022,SE,Data Analyst,102100,USD,102100,US,100,US,M,FT
297,2022,SE,Data Analyst,84900,USD,84900,US,100,US,M,FT
